Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
105,105,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-90.278,-218.651,122.425,0.0,0.0,0.5423513621260635,0.0,0.0,0.0,0.07120132879259039,1,0,0,0,0.02169405448504254,0.02169405448504254,1500.0
106,106,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-89.779,-218.865,122.425,0.0,0.0,0.5429521157524011,0.0,0.0,0.0,0.07463693718526776,1,0,0,0,0.021718084630096043,0.021718084630096043,1500.0
107,107,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-89.297,-219.115,122.425,0.0,0.0,0.5429769792541846,0.0,0.0,0.0,0.07333991649089526,1,0,0,0,0.021719079170167386,0.021719079170167386,1500.0
108,108,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-72.166,-229.384,122.425,0.0,0.0,19.973069919268784,0.0,0.0,0.0,0.06153380795100294,1,0,0,0,0.7989227967707514,0.7989227967707514,1500.0
109,109,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-71.691,-229.646,122.425,0.0,0.0,0.5424656671163576,0.0,0.0,0.0,0.03595270240016151,1,0,0,0,0.0216986266846543,0.0216986266846543,1500.0
110,110,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-71.197,-229.872,122.425,0.0,0.0,0.5432421191329077,0.0,0.0,0.0,0.07498961990480812,1,0,0,0,0.021729684765316306,0.021729684765316306,1500.0
111,111,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-70.689,-230.061,122.425,0.0,0.0,0.5420193723475272,0.0,0.0,0.0,0.07288558331075662,1,0,0,0,0.02168077489390109,0.02168077489390109,1500.0
112,112,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-70.168,-230.212,122.425,0.0,0.0,0.542440780177874,0.0,0.0,0.0,0.07408137235558632,1,0,0,0,0.02169763120711496,0.02169763120711496,1500.0
113,113,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-69.637,-230.325,122.425,0.0,0.0,0.5428904125143547,0.0,0.0,0.0,0.07241989157587908,1,0,0,0,0.021715616500574186,0.021715616500574186,1500.0
114,114,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-69.099,-230.398,122.425,0.0,0.0,0.5429300139060259,0.0,0.0,0.0,0.07481409011254414,1,0,0,0,0.02171720055624104,0.02171720055624104,1500.0
115,115,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-68.557,-230.431,122.425,0.0,0.0,0.5430036832287629,0.0,0.0,0.0,0.07405354875704373,1,0,0,0,0.021720147329150518,0.021720147329150518,1500.0
116,116,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-35.67,-230.433,122.425,0.0,0.0,32.8870000608143,0.0,0.0,0.0,0.06074972597059054,1,0,0,0,1.315480002432572,1.315480002432572,1500.0
117,117,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-35.67,-241.968,122.425,0.0,0.0,11.534999999999997,0.0,0.0,0.0,1.570735512491448,1,0,0,0,0.46139999999999987,0.46139999999999987,1500.0
118,118,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-149.455,-241.968,122.425,0.0,0.0,113.78500000000001,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,4.5514,4.5514,1500.0
119,119,1500.0,2050.0,1,0,0,0,1,0,0.1,0,-149.455,-230.433,122.425,0.0,0.0,11.534999999999997,0.0,0.0,0.0,1.5707963267948966,1,0,0,0,0.46139999999999987,0.46139999999999987,1500.0
